county_fips_code,county_name,state,state_fips_code,date,confirmed_cases,deaths,geo_id,aggregate_travel_time_to_work,amerindian_including_hispanic,amerindian_pop,armed_forces,asian_including_hispanic,asian_male_45_54,asian_male_55_64,asian_pop,associates_degree,bachelors_degree,bachelors_degree_2,bachelors_degree_or_higher_25_64,black_including_hispanic,black_male_45_54,black_male_55_64,black_pop,children,children_in_single_female_hh,civilian_labor_force,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_35_39_mins,commute_35_44_mins,commute_40_44_mins,commute_45_59_mins,commute_5_9_mins,commute_60_89_mins,commute_60_more_mins,commute_90_more_mins,commute_less_10_mins,commuters_16_over,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_public_transportation,commuters_by_subway_or_elevated,commuters_drove_alone,different_house_year_ago_different_city,different_house_year_ago_same_city,dwellings_10_to_19_units,dwellings_1_units_attached,dwellings_1_units_detached,dwellings_20_to_49_units,dwellings_2_units,dwellings_3_to_4_units,dwellings_50_or_more_units,dwellings_5_to_9_units,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_pop,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,families_with_young_children,family_households,father_in_labor_force_one_parent_families_with_young_children,father_one_parent_families_with_young_children,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_5_to_9,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,female_female_households,female_pop,female_under_5,four_more_cars,gini_index,graduate_professional_degree,group_quarters,high_school_diploma,high_school_including_ged,hispanic_any_race,hispanic_male_45_54,hispanic_male_55_64,hispanic_pop,households,households_public_asst_or_food_stamps,households_retirement_income,housing_built_1939_or_earlier,housing_built_2000_to_2004,housing_built_2005_or_later,housing_units,housing_units_renter_occupied,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,income_100000_124999,income_10000_14999,income_125000_149999,income_150000_199999,income_15000_19999,income_200000_or_more,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_less_10000,income_per_capita,less_one_year_college,less_than_high_school_graduate,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_grade_9_12,male_45_64_graduate_degree,male_45_64_high_school,male_45_64_less_than_9_grade,male_45_64_some_college,male_45_to_49,male_45_to_64,male_50_to_54,male_55_to_59,male_5_to_9,male_60_to_61,male_62_to_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,male_male_households,male_pop,male_under_5,management_business_sci_arts_employed,married_households,masters_degree,median_age,median_income,median_rent,median_year_structure_built,million_dollar_housing_units,mobile_homes,mortgaged_housing_units,no_car,no_cars,nonfamily_households,not_hispanic_pop,not_in_labor_force,not_us_citizen_pop,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,occupied_housing_units,one_car,one_parent_families_with_young_children,one_year_more_college,other_race_pop,owner_occupied_housing_units,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,percent_income_spent_on_rent,pop_16_over,pop_25_64,pop_25_years_over,pop_5_years_over,pop_determined_poverty_status,pop_in_labor_force,population_1_year_and_over,population_3_years_over,poverty,rent_10_to_15_percent,rent_15_to_20_percent,rent_20_to_25_percent,rent_25_to_30_percent,rent_30_to_35_percent,rent_35_to_40_percent,rent_40_to_50_percent,rent_burden_not_computed,rent_over_50_percent,rent_under_10_percent,renter_occupied_housing_units_paying_cash_median_gross_rent,sales_office_employed,some_college_and_associates_degree,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,three_cars,total_pop,two_cars,two_or_more_races_pop,two_parent_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,unemployed_pop,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,walked_to_work,white_including_hispanic,white_male_45_54,white_male_55_64,white_pop,worked_at_home,workers_16_and_over
39021,Champaign County ,OH,39,2023-03-05,10762,159,39021,424085.0,111.0,111.0,0.0,166.0,11.0,0.0,155.0,2486.0,2783.0,2783.0,3113.0,702.0,31.0,22.0,702.0,8670.0,1854.0,19199.0,1829.0,1820.0,1999.0,1227.0,2245.0,857.0,1584.0,727.0,1775.0,2200.0,626.0,905.0,279.0,3240.0,16624.0,0.0,16140.0,2008.0,0.0,0.0,14132.0,3699.0,1391.0,102.0,438.0,13148.0,285.0,726.0,581.0,25.0,292.0,668.0,1096.0,833.0,3674.0,667.0,160.0,5311.0,943.0,18084.0,846.0,1201.0,1265.0,1068.0,352.0,2198.0,10741.0,135.0,153.0,1349.0,762.0,403.0,226.0,165.0,664.0,1111.0,1087.0,1255.0,1069.0,1266.0,1381.0,1442.0,1000.0,513.0,843.0,367.0,756.0,1076.0,855.0,499.0,370.0,,19466.0,1007.0,1693.0,0.3817,1499.0,816.0,10810.0,12364.0,613.0,15.0,0.0,613.0,15407.0,1728.0,4472.0,753.0,125.0,104.0,16824.0,4139.0,1704.0,2385.0,2103.0,8604.0,1500.0,1472.0,583.0,826.0,787.0,666.0,319.0,639.0,498.0,795.0,875.0,578.0,873.0,1598.0,2083.0,2205.0,610.0,28403.0,2177.0,2377.0,1772.0,884.0,521.0,263.0,306.0,702.0,1197.0,1070.0,1089.0,1108.0,462.0,518.0,324.0,203.0,2340.0,159.0,1348.0,1264.0,5354.0,1418.0,1331.0,812.0,534.0,807.0,388.0,535.0,1045.0,505.0,401.0,359.0,,19395.0,1084.0,5336.0,8395.0,1306.0,41.6,59909.0,548.0,1968.0,45.0,1227.0,6515.0,237.0,778.0,4666.0,38248.0,12174.0,118.0,5336.0,1537.0,5280.0,3038.0,2893.0,15407.0,4195.0,805.0,3255.0,98.0,11268.0,89500.0,137200.0,198100.0,22.0,31373.0,19785.0,26941.0,,37930.0,19199.0,38556.0,37773.0,4025.0,684.0,826.0,410.0,412.0,475.0,299.0,155.0,248.0,358.0,272.0,737.0,3038.0,7918.0,,,,2975.0,38861.0,5766.0,1155.0,1393.0,441.0,938.0,14.0,0.0,1115.0,1417.0,238.0,108.0,381.0,36519.0,2592.0,2593.0,36021.0,846.0,17470.0
39125,Paulding County ,OH,39,2023-03-05,5550,78,39125,191680.0,22.0,22.0,0.0,49.0,0.0,0.0,49.0,1161.0,1515.0,1515.0,1659.0,107.0,19.0,10.0,107.0,4412.0,727.0,8798.0,908.0,990.0,944.0,753.0,928.0,313.0,868.0,555.0,627.0,864.0,449.0,466.0,17.0,1587.0,8071.0,0.0,7767.0,519.0,0.0,0.0,7248.0,1690.0,311.0,34.0,43.0,7476.0,87.0,198.0,199.0,12.0,52.0,394.0,529.0,371.0,1906.0,284.0,70.0,2735.0,371.0,8402.0,188.0,654.0,396.0,380.0,124.0,1280.0,5409.0,177.0,184.0,540.0,358.0,208.0,8.0,128.0,329.0,503.0,559.0,428.0,621.0,558.0,620.0,776.0,729.0,194.0,386.0,248.0,328.0,501.0,376.0,168.0,297.0,,9380.0,517.0,1059.0,0.416,549.0,98.0,5303.0,5847.0,905.0,77.0,41.0,905.0,7692.0,820.0,2299.0,425.0,241.0,76.0,8764.0,1513.0,1179.0,860.0,1085.0,4049.0,350.0,741.0,227.0,406.0,211.0,305.0,136.0,398.0,602.0,411.0,393.0,423.0,337.0,573.0,940.0,1229.0,360.0,28867.0,907.0,1312.0,604.0,418.0,187.0,69.0,78.0,348.0,497.0,567.0,488.0,622.0,178.0,240.0,171.0,92.0,1326.0,47.0,591.0,597.0,2645.0,667.0,690.0,689.0,203.0,488.0,219.0,362.0,411.0,301.0,171.0,129.0,,9362.0,557.0,2390.0,4107.0,510.0,42.2,56531.0,477.0,1966.0,17.0,637.0,3285.0,138.0,295.0,2283.0,17837.0,6080.0,108.0,2390.0,966.0,2368.0,1394.0,1284.0,7692.0,1921.0,470.0,1684.0,0.0,6179.0,69900.0,102600.0,164900.0,24.2,14878.0,9464.0,12975.0,,18539.0,8798.0,18555.0,18074.0,1902.0,218.0,117.0,305.0,82.0,154.0,134.0,61.0,160.0,196.0,86.0,706.0,1394.0,3752.0,,,,1380.0,18742.0,3037.0,387.0,810.0,200.0,610.0,0.0,0.0,396.0,1072.0,90.0,140.0,197.0,17839.0,1150.0,1320.0,17262.0,133.0,8204.0
39067,Harrison County ,OH,39,2023-03-05,4124,82,39067,172445.0,0.0,0.0,45.0,78.0,0.0,0.0,78.0,1246.0,844.0,844.0,878.0,430.0,46.0,9.0,430.0,3151.0,527.0,6384.0,559.0,614.0,514.0,460.0,917.0,352.0,624.0,272.0,607.0,499.0,375.0,610.0,235.0,718.0,5623.0,0.0,5450.0,454.0,0.0,0.0,4996.0,922.0,180.0,44.0,72.0,6298.0,44.0,95.0,150.0,2.0,56.0,396.0,467.0,444.0,1609.0,79.0,85.0,695.0,374.0,6005.0,125.0,675.0,418.0,486.0,152.0,839.0,3963.0,32.0,46.0,508.0,293.0,138.0,101.0,44.0,180.0,403.0,361.0,353.0,470.0,466.0,530.0,655.0,367.0,208.0,455.0,194.0,350.0,482.0,279.0,214.0,286.0,,7708.0,371.0,472.0,0.4267,509.0,280.0,5024.0,5382.0,56.0,11.0,0.0,56.0,6221.0,817.0,1610.0,396.0,217.0,127.0,8092.0,1342.0,609.0,680.0,760.0,2744.0,291.0,460.0,397.0,165.0,226.0,251.0,131.0,350.0,278.0,391.0,315.0,368.0,252.0,582.0,644.0,875.0,536.0,25751.0,462.0,1341.0,380.0,297.0,185.0,66.0,91.0,237.0,382.0,355.0,449.0,326.0,120.0,156.0,227.0,85.0,1276.0,50.0,342.0,475.0,2256.0,561.0,493.0,530.0,278.0,449.0,313.0,285.0,297.0,271.0,171.0,128.0,,7424.0,405.0,1377.0,3199.0,289.0,46.1,49454.0,440.0,1969.0,2.0,1331.0,2494.0,307.0,573.0,2258.0,15076.0,6003.0,81.0,1377.0,1098.0,1263.0,1180.0,1087.0,6221.0,1781.0,193.0,1155.0,30.0,4879.0,68300.0,100800.0,157100.0,27.1,12432.0,7669.0,10939.0,,14793.0,6429.0,14950.0,14594.0,2417.0,156.0,77.0,73.0,87.0,130.0,38.0,51.0,299.0,252.0,179.0,585.0,1180.0,2863.0,,,,1143.0,15132.0,2252.0,201.0,646.0,423.0,188.0,0.0,35.0,379.0,1871.0,132.0,53.0,110.0,14388.0,973.0,1211.0,14337.0,351.0,5974.0
39065,Hardin County ,OH,39,2023-03-05,8815,167,39065,306940.0,1.0,1.0,0.0,237.0,0.0,0.0,237.0,1428.0,1912.0,1912.0,2353.0,339.0,23.0,19.0,339.0,7047.0,1011.0,15157.0,1841.0,1373.0,1382.0,633.0,1297.0,594.0,1209.0,615.0,1110.0,2481.0,373.0,774.0,401.0,3468.0,13087.0,0.0,12200.0,1041.0,0.0,0.0,11159.0,3425.0,1034.0,181.0,41.0,9939.0,238.0,516.0,402.0,20.0,516.0,357.0,1396.0,868.0,2958.0,459.0,113.0,3882.0,584.0,14388.0,535.0,1509.0,766.0,772.0,189.0,1975.0,7823.0,145.0,163.0,680.0,619.0,829.0,499.0,251.0,1005.0,772.0,757.0,623.0,1127.0,916.0,926.0,989.0,1167.0,451.0,528.0,343.0,532.0,710.0,440.0,239.0,530.0,,15822.0,889.0,1183.0,0.4034,1177.0,2337.0,8393.0,9462.0,585.0,0.0,11.0,585.0,11777.0,1474.0,2960.0,654.0,124.0,123.0,13224.0,3134.0,1755.0,1281.0,1378.0,8571.0,3005.0,1123.0,419.0,670.0,240.0,651.0,184.0,612.0,474.0,855.0,567.0,765.0,587.0,1053.0,1293.0,1365.0,919.0,23498.0,1166.0,1900.0,1094.0,662.0,763.0,618.0,361.0,723.0,878.0,819.0,518.0,1199.0,216.0,335.0,250.0,131.0,2125.0,138.0,569.0,893.0,3764.0,928.0,1170.0,1026.0,268.0,505.0,396.0,356.0,608.0,263.0,282.0,331.0,,15571.0,910.0,3849.0,6127.0,944.0,36.6,50214.0,493.0,1966.0,7.0,1370.0,4939.0,430.0,710.0,3954.0,30808.0,10100.0,502.0,3849.0,1374.0,4089.0,2729.0,2347.0,11777.0,3396.0,602.0,2252.0,20.0,8643.0,67000.0,106200.0,168100.0,22.8,25257.0,14267.0,19297.0,,28739.0,15157.0,31030.0,30279.0,4114.0,468.0,370.0,512.0,235.0,205.0,186.0,88.0,392.0,435.0,243.0,670.0,2729.0,4846.0,,,,2257.0,31393.0,4231.0,575.0,1373.0,450.0,887.0,34.0,2.0,769.0,1447.0,98.0,154.0,674.0,29951.0,1782.0,1901.0,29636.0,838.0,13925.0
39135,Preble County ,OH,39,2023-03-05,11637,208,39135,495875.0,48.0,48.0,6.0,109.0,35.0,3.0,109.0,2464.0,3330.0,3330.0,4015.0,314.0,7.0,30.0,298.0,9196.0,918.0,20313.0,2236.0,2339.0,1908.0,1189.0,1935.0,849.0,1945.0,1096.0,2204.0,2264.0,1255.0,1568.0,313.0,3155.0,18479.0,4.0,18073.0,1402.0,4.0,0.0,16671.0,3148.0,719.0,145.0,394.0,15560.0,111.0,370.0,439.0,37.0,303.0,445.0,1429.0,1353.0,4521.0,595.0,248.0,4608.0,984.0,19654.0,882.0,1876.0,1154.0,1226.0,333.0,2435.0,11379.0,193.0,199.0,1347.0,843.0,391.0,386.0,121.0,508.0,1219.0,1134.0,1209.0,1150.0,1331.0,1413.0,1750.0,1120.0,612.0,732.0,539.0,774.0,1134.0,696.0,601.0,497.0,,20579.0,1072.0,2190.0,0.3988,1927.0,437.0,11224.0,12443.0,388.0,5.0,72.0,388.0,16417.0,1647.0,4813.0,898.0,243.0,151.0,17929.0,3600.0,1645.0,2194.0,2118.0,8325.0,1178.0,1603.0,629.0,857.0,792.0,614.0,435.0,819.0,671.0,717.0,863.0,626.0,866.0,1480.0,2033.0,2677.0,735.0,29769.0,2145.0,2734.0,1444.0,877.0,491.0,193.0,141.0,740.0,1142.0,1123.0,1150.0,1188.0,303.0,444.0,569.0,285.0,2861.0,40.0,1325.0,1317.0,5827.0,1414.0,1749.0,1311.0,554.0,793.0,421.0,765.0,1063.0,554.0,432.0,372.0,,20416.0,1182.0,5997.0,9240.0,1619.0,43.1,61339.0,542.0,1969.0,46.0,570.0,7296.0,205.0,805.0,5038.0,40607.0,12667.0,172.0,5997.0,2148.0,4417.0,3824.0,3268.0,16417.0,3790.0,592.0,3785.0,3.0,12817.0,88400.0,133900.0,190700.0,23.7,32986.0,20980.0,28828.0,,40357.0,20319.0,40561.0,39571.0,3697.0,599.0,473.0,439.0,380.0,236.0,139.0,342.0,459.0,361.0,172.0,736.0,3824.0,8394.0,,,,3448.0,40995.0,6184.0,737.0,1843.0,714.0,1081.0,26.0,22.0,659.0,1512.0,211.0,154.0,322.0,39615.0,2657.0,2877.0,39409.0,711.0,19190.0
39019,Carroll County ,OH,39,2023-03-05,6321,136,39019,305120.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,2090.0,1623.0,1623.0,1984.0,275.0,122.0,34.0,275.0,5592.0,843.0,12467.0,1177.0,1590.0,1000.0,497.0,835.0,607.0,1145.0,538.0,1058.0,1805.0,927.0,1295.0,368.0,2446.0,11043.0,5.0,10293.0,990.0,5.0,0.0,9303.0,1870.0,292.0,60.0,184.0,10686.0,13.0,397.0,201.0,42.0,267.0,517.0,887.0,1162.0,2512.0,478.0,213.0,2337.0,487.0,12006.0,247.0,1274.0,795.0,621.0,476.0,1617.0,7444.0,121.0,128.0,681.0,521.0,259.0,112.0,42.0,490.0,700.0,717.0,563.0,860.0,866.0,946.0,1155.0,834.0,388.0,685.0,493.0,457.0,761.0,599.0,406.0,329.0,,13502.0,638.0,1110.0,0.4437,971.0,454.0,8742.0,9564.0,360.0,0.0,83.0,360.0,11286.0,1289.0,3276.0,771.0,281.0,103.0,13627.0,2413.0,1307.0,1298.0,1166.0,5262.0,850.0,908.0,421.0,511.0,325.0,510.0,380.0,529.0,573.0,916.0,541.0,560.0,615.0,1015.0,1237.0,1584.0,661.0,29915.0,1155.0,2174.0,870.0,523.0,341.0,163.0,189.0,375.0,713.0,659.0,617.0,844.0,542.0,384.0,252.0,133.0,2081.0,121.0,624.0,839.0,4137.0,1036.0,1270.0,833.0,245.0,747.0,453.0,470.0,775.0,393.0,372.0,274.0,,13693.0,692.0,3560.0,6077.0,813.0,46.1,52574.0,526.0,1974.0,86.0,1777.0,4875.0,650.0,868.0,3842.0,26835.0,9938.0,20.0,3560.0,1514.0,2479.0,2395.0,2058.0,11286.0,2969.0,431.0,2055.0,0.0,8873.0,83600.0,128400.0,198200.0,25.3,22405.0,13850.0,19632.0,,26752.0,12467.0,26851.0,26316.0,3485.0,337.0,291.0,194.0,308.0,114.0,104.0,70.0,527.0,365.0,103.0,713.0,2395.0,5300.0,,,,2333.0,27195.0,4006.0,463.0,1186.0,740.0,425.0,0.0,21.0,461.0,2341.0,147.0,124.0,418.0,26364.0,1753.0,2138.0,26072.0,653.0,11696.0
39149,Shelby County ,OH,39,2023-03-05,13298,203,39149,424805.0,99.0,84.0,23.0,431.0,0.0,35.0,423.0,3578.0,3994.0,3994.0,5201.0,1193.0,105.0,96.0,1152.0,12113.0,1856.0,25839.0,4512.0,3540.0,3395.0,1583.0,1695.0,398.0,848.0,450.0,922.0,4650.0,412.0,700.0,288.0,5951.0,23146.0,7.0,22538.0,2384.0,9.0,0.0,20154.0,3451.0,2394.0,505.0,643.0,15672.0,79.0,1409.0,631.0,267.0,452.0,661.0,1580.0,1404.0,4497.0,756.0,185.0,8753.0,1081.0,24493.0,539.0,2532.0,1200.0,741.0,564.0,3277.0,12784.0,189.0,208.0,1718.0,1046.0,520.0,236.0,360.0,768.0,1410.0,1382.0,1392.0,1404.0,1484.0,1689.0,1766.0,1482.0,725.0,795.0,608.0,854.0,961.0,1003.0,384.0,634.0,,24173.0,1552.0,2091.0,0.3942,2272.0,476.0,12020.0,13393.0,759.0,5.0,105.0,759.0,18670.0,1738.0,4383.0,971.0,242.0,417.0,20497.0,5489.0,2382.0,2997.0,2985.0,11660.0,1515.0,1934.0,493.0,1378.0,991.0,860.0,623.0,930.0,825.0,909.0,785.0,774.0,894.0,1509.0,2221.0,2919.0,625.0,30211.0,2040.0,3388.0,1877.0,1132.0,637.0,323.0,268.0,864.0,1467.0,1396.0,1282.0,1571.0,681.0,928.0,608.0,140.0,2880.0,255.0,1188.0,1485.0,6680.0,1685.0,1878.0,1701.0,589.0,1043.0,636.0,783.0,893.0,708.0,338.0,276.0,,24437.0,1605.0,6929.0,10233.0,1791.0,39.8,64522.0,567.0,1974.0,10.0,839.0,7664.0,334.0,687.0,5886.0,47851.0,12099.0,324.0,6929.0,2240.0,7498.0,4503.0,3323.0,18670.0,5187.0,1135.0,3856.0,147.0,13181.0,97100.0,147400.0,233800.0,20.9,37961.0,24443.0,32521.0,,47859.0,25862.0,47979.0,46571.0,4792.0,1068.0,996.0,513.0,451.0,477.0,347.0,261.0,361.0,604.0,411.0,756.0,4503.0,9474.0,,,,3592.0,48610.0,7113.0,1132.0,2142.0,597.0,1545.0,0.0,0.0,1346.0,1827.0,374.0,92.0,347.0,45534.0,3050.0,3251.0,44913.0,1003.0,24149.0
39115,Morgan County ,OH,39,2023-03-05,4109,62,39115,198275.0,24.0,24.0,8.0,12.0,12.0,0.0,12.0,1247.0,724.0,724.0,750.0,537.0,32.0,33.0,537.0,3040.0,450.0,6172.0,568.0,567.0,481.0,256.0,484.0,139.0,410.0,271.0,610.0,626.0,803.0,1284.0,481.0,891.0,5551.0,10.0,5451.0,584.0,10.0,0.0,4867.0,1104.0,175.0,23.0,28.0,5834.0,4.0,131.0,101.0,48.0,77.0,134.0,505.0,516.0,1462.0,243.0,61.0,984.0,266.0,5926.0,252.0,715.0,316.0,357.0,115.0,736.0,4081.0,160.0,160.0,510.0,283.0,146.0,96.0,58.0,180.0,359.0,361.0,392.0,536.0,454.0,476.0,627.0,343.0,182.0,318.0,208.0,264.0,427.0,339.0,258.0,182.0,,7335.0,336.0,690.0,0.4253,371.0,180.0,4312.0,4730.0,139.0,0.0,0.0,139.0,6076.0,1373.0,1703.0,234.0,117.0,175.0,8015.0,1436.0,581.0,817.0,739.0,2696.0,257.0,311.0,390.0,200.0,134.0,391.0,54.0,390.0,425.0,228.0,316.0,504.0,345.0,550.0,688.0,624.0,526.0,23053.0,629.0,1479.0,584.0,311.0,178.0,89.0,128.0,161.0,361.0,401.0,438.0,384.0,231.0,117.0,266.0,32.0,1107.0,28.0,258.0,451.0,2039.0,481.0,537.0,349.0,254.0,316.0,211.0,294.0,357.0,394.0,110.0,109.0,,7222.0,324.0,1638.0,3114.0,319.0,44.8,43791.0,439.0,1973.0,21.0,1749.0,1729.0,52.0,403.0,1995.0,14418.0,5752.0,2.0,1638.0,811.0,1381.0,1179.0,917.0,6076.0,1722.0,470.0,1301.0,65.0,4640.0,60700.0,102700.0,163000.0,29.0,11932.0,7328.0,10481.0,,14362.0,6180.0,14372.0,14093.0,2471.0,152.0,170.0,114.0,147.0,172.0,41.0,72.0,186.0,311.0,71.0,604.0,1179.0,3177.0,,,,1177.0,14557.0,2084.0,455.0,266.0,82.0,166.0,18.0,0.0,246.0,1939.0,20.0,65.0,58.0,13455.0,877.0,1067.0,13325.0,264.0,5815.0
39145,Scioto County ,OH,39,2023-03-05,27773,281,39145,690320.0,168.0,164.0,10.0,330.0,0.0,0.0,330.0,4264.0,4769.0,4769.0,6606.0,2271.0,175.0,79.0,2190.0,16389.0,2753.0,29354.0,3458.0,3576.0,3691.0,1765.0,3132.0,1032.0,1688.0,656.0,1750.0,3230.0,941.0,2143.0,1202.0,4693.0,25896.0,14.0,25209.0,1562.0,14.0,0.0,23647.0,7667.0,2140.0,597.0,379.0,24999.0,637.0,917.0,560.0,662.0,1011.0,305.0,2045.0,2140.0,8286.0,1078.0,295.0,3112.0,1452.0,27316.0,1284.0,3534.0,1704.0,1699.0,382.0,4689.0,19229.0,521.0,624.0,2244.0,1524.0,907.0,350.0,449.0,1239.0,2409.0,2205.0,2580.0,1932.0,2412.0,2494.0,2788.0,2070.0,1302.0,1414.0,1004.0,1151.0,2028.0,1381.0,1105.0,1146.0,,38351.0,2217.0,2368.0,0.4801,3450.0,3614.0,18972.0,22358.0,1082.0,51.0,53.0,1082.0,29561.0,8416.0,7555.0,2918.0,610.0,301.0,34568.0,9637.0,3686.0,3868.0,4021.0,16475.0,2806.0,2020.0,2197.0,1047.0,969.0,2027.0,681.0,2143.0,1625.0,1403.0,1337.0,1508.0,1108.0,2370.0,2256.0,3424.0,3446.0,23512.0,4190.0,7559.0,2497.0,1511.0,1011.0,461.0,561.0,1388.0,2707.0,2530.0,2419.0,2069.0,528.0,912.0,918.0,479.0,4795.0,324.0,1762.0,2387.0,9718.0,2433.0,2811.0,2277.0,992.0,1095.0,753.0,1240.0,1632.0,1077.0,714.0,476.0,,37090.0,2049.0,8815.0,13804.0,2780.0,40.1,41866.0,480.0,1967.0,16.0,4781.0,9224.0,417.0,2294.0,10332.0,74359.0,31704.0,271.0,8815.0,2859.0,4839.0,5626.0,5177.0,29561.0,9766.0,2219.0,6096.0,81.0,19924.0,60700.0,103400.0,172400.0,29.3,61068.0,38979.0,52686.0,,71837.0,29364.0,74406.0,72725.0,16522.0,1061.0,715.0,1099.0,1006.0,1008.0,583.0,593.0,1333.0,1836.0,403.0,634.0,5626.0,14550.0,,,,5579.0,75441.0,9554.0,1307.0,2470.0,1010.0,1349.0,13.0,98.0,2038.0,5007.0,586.0,388.0,535.0,70932.0,4471.0,4678.0,70281.0,915.0,26811.0
39111,Monroe County ,OH,39,2023-03-05,4232,85,39111,181255.0,0.0,0.0,8.0,67.0,0.0,0.0,67.0,1113.0,721.0,721.0,898.0,63.0,1.0,0.0,63.0,2849.0,447.0,5631.0,502.0,597.0,476.0,144.0,771.0,175.0,360.0,185.0,649.0,469.0,691.0,1001.0,310.0,678.0,5178.0,14.0,4951.0,370.0,14.0,0.0,4581.0,618.0,174.0,50.0,24.0,5970.0,75.0,62.0,57.0,11.0,37.0,590.0,220.0,630.0,1093.0,290.0,38.0,581.0,229.0,5364.0,203.0,717.0,287.0,343.0,143.0,809.0,3856.0,89.0,107.0,350.0,241.0,124.0,72.0,80.0,159.0,342.0,339.0,372.0,344.0,432.0,475.0,645.0,467.0,140.0,253.0,224.0,398.0,336.0,304.0,178.0,283.0,,6881.0,323.0,635.0,0.4797,493.0,143.0,4733.0,5091.0,15.0,0.0,0.0,15.0,5854.0,788.0,1943.0,299.0,207.0,335.0,7476.0,1285.0,665.0,555.0,573.0,2578.0,381.0,358.0,219.0,189.0,301.0,399.0,153.0,416.0,408.0,386.0,322.0,231.0,260.0,457.0,445.0,831.0,479.0,28521.0,709.0,991.0,447.0,327.0,131.0,57.0,59.0,224.0,347.0,356.0,371.0,366.0,152.0,175.0,205.0,50.0,1143.0,32.0,243.0,471.0,2000.0,478.0,512.0,342.0,158.0,381.0,216.0,371.0,313.0,279.0,156.0,232.0,,6946.0,352.0,1388.0,3197.0,417.0,47.0,46241.0,440.0,1969.0,0.0,1177.0,1613.0,176.0,409.0,1998.0,13812.0,5692.0,14.0,1388.0,1133.0,1079.0,1102.0,662.0,5854.0,1518.0,287.0,954.0,1.0,4569.0,69300.0,109500.0,171600.0,32.3,11331.0,6782.0,10072.0,,13685.0,5639.0,13667.0,13421.0,1997.0,84.0,76.0,126.0,81.0,43.0,90.0,141.0,374.0,201.0,69.0,627.0,1102.0,2776.0,,,,1227.0,13827.0,2065.0,261.0,522.0,199.0,323.0,0.0,0.0,267.0,1622.0,112.0,61.0,173.0,13420.0,920.0,1031.0,13420.0,154.0,5332.0
